Time (s),Drone ID,X Position (m),Y Position (m),Z Position (m),Roll (deg),Pitch (deg),Yaw (deg),Motor Speed X (RPM),Motor Speed Y (RPM),Motor Speed Z (RPM),RMSE (m)

1,1,14.6928949598818,4.08912132423163,5.38935174789147,3.53023044009804,2.19372179828199,1.38012538499289,75.1267059305653,84.0717255983663,35.1659507062997,3.46873665929416
1,2,13.7158636711061,11.0929460861093,3.83927919643547,0.159164231887103,1.90779228546504,3.39851338426837,25.5095115459269,25.4282178971531,83.0828627896291,3.46873665929416
1,3,6.07183806719551,12.8421732385344,5.87282326467194,1.38461492480445,3.82758394074501,3.2754900198692,50.5957051665142,81.4284826068816,58.5264091152724,3.46873665929416
1,4,5.36852835079887,10.4832167409339,6.08498311939388,0.23085695315577,3.97599950568532,0.813058675973153,69.9076722656686,24.3524968724989,54.972360829114,3.46873665929416
1,5,0.213445301230817,10.2413845217503,5.44683788714443,0.485658906179238,0.934363022771893,0.594988407791883,89.0903252535798,92.9263623187228,91.719366382981,3.46873665929416
1,6,-3.89302144708708,4.01048760897996,5.64435032644583,4.11728914163646,2.44882197894116,2.49182025991071,95.9291425205444,34.9983765984809,28.5839018820374,3.46873665929416
1,7,-1.55585983556099,2.47093606751289,5.60783117031229,3.47414311487909,2.2279310035545,4.79871979258041,54.7215529963803,19.6595250431208,75.7200229110721,3.46873665929416
1,8,3.53605666612869,3.12445096031345,4.73056754883542,1.5854974003043,3.23156505055632,1.70192863333067,13.8624442828679,25.1083857976031,75.3729094278495,3.46873665929416
1,9,10.2244381628995,2.50680998216589,5.38869472544389,4.75111024419177,3.54682415429036,2.92633875489889,14.9294005559057,61.6044676146639,38.0445846975357,3.46873665929416
1,10,14.0113466617244,5.15959178634603,4.1779667195289,0.172230402514544,3.7734334099118,1.11905969745568,25.7508254123736,47.3288848902729,56.7821640725221,3.46873665929416
1,1,14.6928949598818,4.08912132423163,5.38935174789147,3.53023044009804,2.19372179828199,1.38012538499289,75.1267059305653,84.0717255983663,35.1659507062997,3.46873665929416
1,2,13.7158636711061,11.0929460861093,3.83927919643547,0.159164231887103,1.90779228546504,3.39851338426837,25.5095115459269,25.4282178971531,83.0828627896291,3.46873665929416
1,3,6.07183806719551,12.8421732385344,5.87282326467194,1.38461492480445,3.82758394074501,3.2754900198692,50.5957051665142,81.4284826068816,58.5264091152724,3.46873665929416
